customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_ward2,cluster_st_ward3
30,1,29,3,0,0,38.72829656880928,-9.200584513859768,1,19,2,465,0.153519836415074,0,6849,762,341,317,339,755,644,207,749,0.6247377542643437,0.0695065219374258,0.0311046246465383,0.0289154428532336,0.0309221928304296,0.0688680105810453,0.0587430447870108,0.0188816929672534,0.0683207151327191,1,0
38,0,26,1,1,0,38.731853202702894,-9.148135006804594,1,19,3,605,0.1552982517410428,0,7236,1047,294,376,428,781,639,202,606,0.623309501249031,0.0901886467395985,0.0253251787406322,0.0323886639676113,0.0368679472822809,0.0672753897837884,0.0550435007321905,0.0174002928762167,0.0522008786286501,1,0
58,1,29,1,0,0,38.73490460129287,-9.187120918006782,1,20,3,558,0.1464747046808353,0,7363,932,470,468,342,737,814,377,406,0.6182718952053069,0.078260139390377,0.0394659501217566,0.0392980099084725,0.0287177764715761,0.0618859685951801,0.0683516668066168,0.0316567302040473,0.0340918632966663,1,0
61,1,28,1,0,0,38.73415638845647,-9.152110494533112,1,19,3,492,0.1463325902653571,1,6601,1024,319,418,312,641,809,15,710,0.6084431744861277,0.0943865794082403,0.0294036316711217,0.0385288966725043,0.0287584109134482,0.0590837865241036,0.074569084708268,0.0013826159093003,0.0654438197068854,1,0
125,0,31,3,0,0,38.76860114530653,-9.094380696057254,1,18,4,547,0.1563443245152005,0,6924,986,392,460,439,656,741,317,570,0.6028733130169787,0.0858511101436656,0.0341314758380496,0.0400522420548541,0.0382237701349586,0.0571179799738789,0.0645189377448846,0.0276012189812799,0.0496299521114497,1,0
130,0,29,3,0,0,38.73297365782984,-9.15763090765998,1,19,3,557,0.1522573202999596,0,7182,855,442,359,337,672,739,124,460,0.6429722470904208,0.076544315129812,0.0395702775290957,0.0321396598030438,0.0301700984780662,0.060161145926589,0.0661593554162936,0.011101163831692,0.0411817367949865,1,0
153,1,32,2,1,0,38.75309368631766,-9.15891056883688,1,19,2,517,0.1505384128151588,0,6954,928,443,400,346,738,642,137,638,0.6194548369855692,0.0826652414038838,0.0394619632994833,0.0356315695706395,0.0308213076786032,0.06574024585783,0.0571886691608765,0.012203812577944,0.0568323534651701,1,0
158,1,30,1,0,0,38.76858000592518,-9.15861599889739,1,20,3,491,0.1498791058301388,0,6353,657,472,310,373,752,821,247,535,0.6038973384030418,0.0624524714828897,0.0448669201520912,0.029467680608365,0.0354562737642585,0.0714828897338403,0.078041825095057,0.0234790874524714,0.0508555133079847,1,0
167,0,31,3,1,0,38.73966686833212,-9.167386805530526,1,18,2,413,0.1466293414836497,0,6637,1125,395,457,479,617,644,227,544,0.5965842696629213,0.1011235955056179,0.035505617977528,0.0410786516853932,0.0430561797752809,0.0554606741573033,0.0578876404494382,0.0204044943820224,0.0488988764044943,1,0
197,0,33,3,0,0,38.72850599532056,-9.141604074520298,1,21,3,594,0.1417436766371918,0,7548,1180,386,365,408,697,802,195,444,0.6276923076923077,0.0981288981288981,0.0320997920997921,0.0303534303534303,0.0339293139293139,0.0579625779625779,0.0666943866943867,0.0162162162162162,0.0369230769230769,1,0
