customer_id,customer_gender,customer_age,customer_education,kids_home,teens_home,latitude,longitude,customer_loyalty,typical_hour,distinct_stores_visited,total_distinct_products,percentage_of_products_bought_promotion,number_complaints,spend_groceries,spend_electronics,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,cluster_pc_ward8
13,0,62,1,1,0,38.767086177430336,-9.1910386589956,1,9,20,556,0.4928272269172975,1,309,20,291,336,158,154,120,48,5,0.2144344205412907,0.0138792505204718,0.201943095072866,0.2331714087439278,0.1096460791117279,0.1068702290076335,0.0832755031228313,0.0333102012491325,0.0034698126301179,4
29,0,79,3,1,0,38.73009498992255,-9.124085953232946,1,9,20,492,0.5045998436107769,0,435,20,303,220,188,121,166,37,5,0.2909698996655518,0.0133779264214046,0.2026755852842809,0.1471571906354515,0.125752508361204,0.0809364548494983,0.1110367892976588,0.0247491638795986,0.0033444816053511,4
44,0,47,3,1,0,38.7498756623645,-9.143016210325914,1,8,20,505,0.4961589276772208,1,341,20,351,300,169,186,115,46,5,0.2224396607958251,0.0130463144161774,0.2289628180039138,0.1956947162426614,0.1102413568166992,0.12133072407045,0.0750163078930202,0.030006523157208,0.0032615786040443,4
48,0,64,1,1,0,38.78072281492724,-9.165096876702796,1,9,20,391,0.4940569965470017,1,282,20,241,296,202,127,197,75,5,0.1951557093425605,0.0138408304498269,0.1667820069204152,0.2048442906574394,0.1397923875432526,0.0878892733564013,0.1363321799307958,0.0519031141868512,0.0034602076124567,4
49,1,60,3,1,0,38.78002130908684,-9.15785472660342,1,9,20,575,0.5007664227565708,2,512,20,343,295,234,167,110,30,5,0.2983682983682983,0.0116550116550116,0.1998834498834499,0.1719114219114219,0.1363636363636363,0.0973193473193473,0.0641025641025641,0.0174825174825174,0.0029137529137529,4
54,0,70,2,1,0,38.74510200726496,-9.117362055127169,1,8,20,669,0.4967289109997407,0,57,20,328,262,171,78,142,47,5,0.0513513513513513,0.018018018018018,0.2954954954954955,0.236036036036036,0.154054054054054,0.0702702702702702,0.1279279279279279,0.0423423423423423,0.0045045045045045,4
59,0,70,2,1,0,38.7226966677306,-9.132049983609448,1,10,20,529,0.4956648197356103,2,242,20,241,377,236,62,153,46,5,0.175108538350217,0.0144717800289435,0.1743849493487698,0.2727930535455861,0.170767004341534,0.044862518089725,0.1107091172214182,0.0332850940665701,0.0036179450072358,4
75,0,70,1,1,0,38.7672905364107,-9.154108726141542,1,8,20,553,0.5029450588085798,0,204,20,268,239,243,156,194,67,5,0.1461318051575931,0.0143266475644699,0.1919770773638968,0.1712034383954154,0.1740687679083094,0.1117478510028653,0.1389684813753581,0.0479942693409742,0.0035816618911174,4
79,0,70,3,1,0,38.72899051869841,-9.15226978983818,1,9,20,547,0.5037112302107881,1,195,20,334,234,187,152,185,59,5,0.1422319474835886,0.0145878920495988,0.2436177972283005,0.1706783369803063,0.1363967906637491,0.1108679795769511,0.1349380014587892,0.0430342815463165,0.0036469730123997,4
83,1,67,1,1,1,38.76966139883882,-9.118158688037408,1,9,20,487,0.5014252437068606,1,47,20,252,298,204,147,161,51,5,0.0396624472573839,0.0168776371308016,0.2126582278481012,0.2514767932489452,0.1721518987341772,0.1240506329113924,0.1358649789029536,0.0430379746835443,0.0042194092827004,4
88,1,48,3,1,0,38.76947291659,-9.15401400426898,1,8,20,497,0.5089429159533891,0,31,20,357,281,144,139,158,56,5,0.0260285474391267,0.0167926112510495,0.2997481108312342,0.235936188077246,0.1209068010075566,0.1167086481947942,0.1326616288832913,0.0470193115029387,0.0041981528127623,4
91,0,80,1,1,0,38.74478647393859,-9.167018151785028,1,9,20,641,0.4994192612962225,1,239,20,347,357,226,157,223,55,5,0.1467157765500306,0.0122774708410067,0.2130141190914671,0.2191528545119705,0.1387354205033763,0.096378146101903,0.1368937998772253,0.0337630448127685,0.0030693677102516,4
94,0,39,3,1,0,38.73991103093231,-9.161477789597384,1,9,20,587,0.4982930790490794,2,253,20,294,311,158,222,154,34,5,0.1743625086147484,0.0137835975189524,0.2026188835286009,0.2143349414197105,0.1088904203997243,0.1529979324603721,0.1061337008959338,0.0234321157822191,0.0034458993797381,4
95,1,72,1,1,0,38.76014762851069,-9.176097579110683,1,8,20,532,0.4932939916716731,1,139,20,346,283,178,111,102,40,5,0.1135620915032679,0.0163398692810457,0.2826797385620915,0.2312091503267974,0.1454248366013072,0.0906862745098039,0.0833333333333333,0.0326797385620915,0.0040849673202614,4
99,0,65,1,1,0,38.7357054628066,-9.15175213191976,1,10,20,652,0.49934847773931,1,261,20,282,264,199,208,90,45,5,0.1899563318777292,0.0145560407569141,0.2052401746724891,0.1921397379912663,0.1448326055312954,0.1513828238719068,0.0655021834061135,0.0327510917030567,0.0036390101892285,4
111,0,42,3,1,0,38.78322560567303,-9.156109851774367,1,8,20,543,0.4977653204959625,0,190,20,260,285,162,172,118,43,5,0.1513944223107569,0.0159362549800796,0.2071713147410358,0.2270916334661354,0.1290836653386454,0.1370517928286852,0.0940239043824701,0.0342629482071713,0.0039840637450199,4
113,0,52,3,1,0,38.748259239605176,-9.14982351178062,1,7,20,286,0.5046511973133826,1,332,20,256,326,152,180,265,75,5,0.2060831781502172,0.0124146492861576,0.1589075108628181,0.2023587833643699,0.0943513345747982,0.1117318435754189,0.164494103041589,0.0465549348230912,0.0031036623215394,4
118,1,66,1,1,0,38.74026234206046,-9.135580694385016,1,8,20,531,0.5034738617462307,1,478,20,325,251,165,83,116,43,5,0.3216689098250336,0.0134589502018842,0.2187079407806191,0.1689098250336473,0.111036339165545,0.0558546433378196,0.0780619111709286,0.0289367429340511,0.003364737550471,4
143,1,82,1,1,0,38.75749970757337,-9.173689191588194,1,10,20,481,0.4985359513458379,1,399,20,306,242,249,112,123,41,5,0.2665330661322645,0.0133600534402137,0.2044088176352705,0.1616566466265865,0.1663326653306613,0.074816299265197,0.0821643286573146,0.0273881095524382,0.0033400133600534,4
155,0,53,1,1,1,38.74733994827437,-9.156700555628754,1,8,20,249,0.5052613687743683,2,346,20,342,253,138,113,97,43,5,0.2549742078113485,0.0147383935151068,0.2520265291083272,0.1864406779661017,0.1016949152542373,0.0832719233603537,0.0714812085482682,0.0316875460574797,0.0036845983787767,4
161,0,41,2,1,0,38.73815250984662,-9.169457168420696,1,9,20,542,0.50540619234085,0,217,20,400,322,157,171,153,51,5,0.1450534759358288,0.0133689839572192,0.267379679144385,0.2152406417112299,0.1049465240641711,0.1143048128342246,0.1022727272727272,0.034090909090909,0.0033422459893048,4
